word,translation,audiourl
ahāw,a reply means someone is in agreement,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/1ae2e3f4-43a3-4dbe-9eae-fbddaae45f39/165a.mp3
ahcanis,A Ring,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/badb9219-1105-4f9d-8e74-0101ae4c422b/277a.mp3
ahcānisak,Rings for the finger,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/dcb840ef-5673-43c1-8a25-66b439ac7f6b/462a.mp3
ahchi,In spite of .(change because of something done onpurpose),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/4fc95316-1123-4ea4-87ae-1e94bc58938c/122a.mp3
ahchi,"a change in time, movement or place.",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/4fc95316-1123-4ea4-87ae-1e94bc58938c/122a.mp3
ahchipiko,neverthe less (still...) (Even though,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/23259050-a865-4aab-abbf-ca14bf823de1/527a.mp3
ahēw,He placed him.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/e705c010-3851-4dae-8c1d-cb51f75d107f/132a.mp3
ahēwak,They placed him/them there.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/031f208e-8a91-442a-b4c2-6af9b60b85fc/311a.mp3
ahih,Place him.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/0ee6dcaa-954f-4b22-a55e-32542f5d1fde/6c.mp3
ahihk,All of you put him there.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/c66e7ee0-7566-4fd6-9621-cd29a39c5520/175a.mp3
ahik,All of you place me here.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/26409ad7-58d2-4f34-ab7c-7c53224c2be6/31c.mp3
ahin,Put or place me...(as in there),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/68452dbe-7498-4585-aa73-f468da3ef5bf/57a.mp3
ahkamēyihtam,He keeps on thinking of what needs to be done.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d052eddb-6fa9-492c-bf47-4d37b6a83b69/840a.mp3
ahkamēyimoh,Try harder.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/3768bda4-e7d9-4e50-9004-090bfaa02aad/682a.mp3
ahkamēyimōk,"All of you try hard, persevere.",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/90e15cc9-3e69-417f-87f1-37d27c670242/683a.mp3
ahkwachāw,It is frozen.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/acce41da-6125-4ddb-a438-4ea38b4f6b87/564a.mp3
ahkwakamin,"It is a strong, bitter liquid.",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/8b466426-a0c0-4972-ba90-6b104e5b3b82/565a.mp3
ahkwan,It is painful.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/de011f7a-20d5-414f-a7bb-d0d828592348/141a.mp3
ahkwatihtā,Freeze it.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/303f4e5f-cf03-4fa4-b1ae-ba4434e57a13/684a.mp3
ahkwatin,It is frozen.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/cb42534b-5760-4b65-a943-c942c77fbcc6/339a.mp3
ahkwātisōwin,The state of being difficult,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/5bfdf556-2d7d-4351-81a6-92e13143e9a3/945a.mp3
ahpō,or /either also used as ahpō ētikwē (ie maybe),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/a317e563-8973-4300-80e1-ee0a1a1c7a3e/63a.mp3
ahtastā,Place it elsewhere,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/7ac7f2fe-4c04-4445-b738-0c76061958d8/345a.mp3
ahtoskēwo’ kamik,The band office,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/368c6f5d-5ef7-4c32-a197-a278937e752f/1040a.mp3
akahkway,Blood sucker,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/83305bf5-8894-4b84-8e14-dce515428153/416a.mp3
akahkwayak,"blood suckers, leeches; snails",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/7e776e14-2889-4602-b79b-fe2b1ad32c5b/627a.mp3
akawatamowin,A wish,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6bc9b93c-fde0-4f64-b76d-4974b7f59e89/814a.mp3
akayāsemoh,Speak English!,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/4c8a4934-337f-43cd-a674-22c0f671a3a1/693a.mp3
akayāsemōwin,The act of speaking English,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/5c5866b7-7a6a-4171-9286-64adaa5a8d95/936a.mp3
akāwācikēwin,The act of being enticed by something or someone,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/18c50583-7418-4bcd-bb30-915ea5167ee6/832a.mp3
akāwāstēskamok,All of you shade it by standing before it.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/92be6351-18a7-4048-96f1-064b9e9d3d9f/968a.mp3
akihchike,Count!,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/b10e6a16-8eaa-4343-8f20-1e037b0b3ab5/501a.mp3
akihcikēwin,The act of Performing calculations; numerations.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/48e58c4a-e99f-4771-accc-4519c3a2385f/732a.mp3
akihta,Count those things,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/8426de4f-141b-42db-bc41-6dfe52c279de/69c.mp3
akihtamaw,Count for him!,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/4caf72f6-71ca-4fbd-b54d-cbda0e6754bf/502a.mp3
akihtāsowin,"A Number, A figure",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/646f5b09-10e3-4a63-a187-5e7f55ffd98c/68c.mp3
akihtāsōna,"Numbers, figures",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/2f5403ef-457e-477e-bbd5-a34e7e90d235/615a.mp3
akim,Count them!,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d4bba69c-ede8-45c2-a259-329627c88d91/53a.mp3
akos,Hang him.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/687cde5d-ae98-4910-83ad-4c1022b20e45/54a.mp3
akoskôwahchikē,Glue things together.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/f7356553-1e21-4019-a4e1-ee22f8abac25/969a.mp3
akotā,Hang it.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/2ad3cb12-9cce-4ed7-98a5-c473584ec291/177a.mp3
akotā,hang it up,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/5c414acc-57b0-4b8e-ac39-19362cdf6a9e/61c.mp3
akwaha,pin it (assumes to the wall),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/949e20ed-b340-4b5e-a017-0113f9262060/26c.mp3
akwahpisōwin,A act of putting on a bandage,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/93087966-bc3e-4c6e-9b15-800a7f932ab6/725a.mp3
akwamohcikēwin,The act of applying something,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9e466eb5-7c30-4690-a136-d7a65bcd833b/984a.mp3
akwana,Cover him!,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/f3edf72a-f5ac-4851-a9e5-0a6d4ea75649/70c.mp3
akwanahikana,"covers (for something,could be for pots)",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/db88f014-7962-4a47-aca8-5100117be7fa/808a.mp3
akwānahā,Cover it.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/900711c1-7022-44d0-93cd-ad525fe7d90a/335a.mp3
akwâna,Take it out of the liquid,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/5957b5f8-f0c5-42d4-a7a3-f750cfa5ecbe/313a.mp3
amaciwēnēkānohtēwin,Leading the way up,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/46372e49-d019-4653-bd3b-0bd2e5810314/1003a.mp3
amisk,A Beaver,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/cc73cf2c-6d84-40e8-a4bb-bbbea6dbbdf4/75a.mp3
amiskosākahikan,Beaver Lake,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/677273a9-8682-4ac7-accf-8b5e300c0f3f/1004a.mp3
amiskwak,beaver (more than one),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/ccbb2303-4fc2-40db-afef-1b61b6f80a39/83a.mp3
amiskwayān,beaver pelt,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/5542fcf4-d3d1-4d69-ae44-2526a4179380/586a.mp3
amiskwayāna,Beaver Pelts,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/0850b6e5-6545-4671-9937-90960da9245f/697a.mp3
amiskwayiwa,Beaver tails,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d75c13c7-44c4-49b1-9b54-cc1eb145233d/700a.mp3
anāskāna,Sheets,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/e9bff543-5e13-4cf9-9edc-f0352f49930e/653a.mp3
anikwacās,squirrel,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/52712135-2a99-42f1-a98b-e14b1a3fa8cf/701a.mp3
aniskamanak,Buttons,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/2c1a4ef5-cba3-40bd-a6c3-9b89d17b397d/699a.mp3
apacihcikan,something useful,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9387ba0a-d4a1-4728-9235-3a1d2e74ea8e/707a.mp3
apacikcikana,tools,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/8e0db593-e8aa-48fb-989c-04d1910c0c55/812a.mp3
apahkwācēsak,Bats,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/3af9be56-4bd7-406e-903d-aaf19e979469/919a.mp3
apāchih,"Use it, as in an animate object.",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/7490eb4f-824c-48f0-9181-38f341238845/314a.mp3
apēhtāwsēyaw,A waist or mid-section of human body,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/b684bfc2-2da8-4fc3-858d-c500571c7c31/991a.mp3
apēw’ kamik,a living room,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/12f60072-51a2-449a-9367-e6a105ae9f42/994a.mp3
apih,sit!,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6e7842bf-d2c3-4317-bb2c-30d9344fed07/55a.mp3
apihkāta,Braid it.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/14185f77-2beb-4e24-b820-dd7aa1ffb7f9/528a.mp3
apihkē,Make a braid (or braids),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/96fae89b-8dfc-4c0b-8ba4-da6c27d51c39/161a.mp3
apihkēwin,weaving,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9cfd2564-ab0c-4246-a089-0cb441bd5e0a/536a.mp3
apihkēwina,braids,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/e9c4ea2d-66fa-41ab-b26c-8675ed8d42dd/591a.mp3
apihtāpiw,He has a black (bruised) eye.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d8c612a4-33cb-48b8-9907-1b0aaccb9f8c/696a.mp3
apik,All sit.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/286e759d-e452-4b8b-af53-07251158d2a5/42a.mp3
apiscacihkos,Pronghorn,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6bbd6da3-9bc0-45b9-981e-12c9f4361323/812a.mp3
apisesiw,He is small.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/e674f054-6dbb-48cc-b838-f54845c3e219/368a.mp3
apisēsiw,He is small.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/0646019c-7ef4-407b-bd17-2148fce45a5c/368a.mp3
apitān,Let’s sit down.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9d16e4c6-443f-413c-bff4-566e43c09672/287a.mp3
aposōyahtikwa,Teepee Poles,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/43a21cde-8318-4f91-b348-9474206dd19f/698a.mp3
apoy,A Paddle,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/0603ed6a-34d4-4466-87aa-cef4399edeb9/12c.mp3
apoyak,Shovels or (paddles for rowing),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/32c07ff4-8430-45ea-950b-d0411d3f8254/207a.mp3
apwēsiwin,"Being sweaty, Perspiration",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/8ce7f7ce-0343-4e80-bf61-1de25af5d3a9/688a.mp3
asahpicēkēwin,"An act of bindings, the act of makingbundles.",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/18456262-47fc-45d3-983a-aa6085a10dc2/876a.mp3
asam,Feed him/them,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/470d54e0-bd14-4a78-8c12-3cb94fb0bbb6/26a.mp3
asamās,Feed him a little,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/25479738-f151-4a9b-b73d-c1f363ef6535/293a.mp3
asamāw,He is fed.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/4ad11289-fa13-4726-98a3-218c756ef887/298a.mp3
asamēna,again,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/ba3efad9-61ad-4300-b0c4-d31f88f86600/371a.mp3
asawāpam,Be on the look out for him.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/b4073200-ecad-4f0d-90dc-b450ed2ecdff/522a.mp3
asāhpis,Tie them together.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/890a193e-aa2d-47bb-b943-b51a9d42254d/288a.mp3
asci,"also, too",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/68656602-c0e6-4c38-bae5-61f47c662c8b/38a.mp3
asēn,refuse him or do not take him,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/ab8d4b06-6f6f-4292-8675-450e443f93e6/112a.mp3
asēna,refuse it,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/ad1dc91e-4c3b-4b89-a512-1347f132bf81/152a.mp3
asēpita,pull it backwards,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9748c8c5-d1ac-4f48-ae0d-7cdc1a5ebedc/353a.mp3
asēsina,"the front upper part of a moccosin, s vamp or tongue",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/b1114520-939f-4629-b3af-ef15e8551a30/295a.mp3
asikan,A sock,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/e0ca0893-f54b-493b-bc33-e87b06dd1d78/229a.mp3
asikanak,More than one sock,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/59f470f7-4308-48f4-89d2-d650de602ee9/360a.mp3
asikanak,socks (plural form),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/338d2c83-afd2-4312-8209-19fa72e28b24/360a.mp3
asinēyak,Rocks (plural of asinēy-rock),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/c3ecb25c-2d63-40e9-bad5-afc8c1f1fb1d/551a.mp3
asiniysisak,"Pebbles, Rocks",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6b951240-8706-4e12-8bc1-9acc6b8f563a/361a.mp3
asiniywaciya,Mountains,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/54bff25a-ef6f-4de7-8671-b6c2bd214b6f/711a.mp3
askāhtik,A green tree,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/83ae6a7e-0b95-450b-a4b2-770a35ac368b/552a.mp3
askāw,sometimes; rarely; occasionally,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d2255f21-8f07-48d1-b1ff-3952baedea48/111a.mp3
askāwewan,"Open water in spring break, during spring break.",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/cfa85d9f-d5e4-4c7a-bae7-5fb3886c4407/397a.mp3
askihk,"A pail, A bucket",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/2368374b-73d2-46fa-8b6b-6c178afc3433/204a.mp3
askihkohkānis,A motor,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/432c80e7-3c82-467c-a0e2-a2d50b7ea6cd/953a.mp3
askipahkwēsikan,Flour,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9da37132-ad30-4690-b6d7-1cf95cf2bf30/989a.mp3
askipwāw,A potato,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/21450f87-9bf5-4731-8639-56876feff0d3/498a.mp3
askipwāwa,Potatoes,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6471a9bb-8c4e-418c-8036-4997b2da65e8/660a.mp3
askiwiyās,A piece of raw meat.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/a604cd4a-5106-4ce3-8e9b-f4ee2d874da4/561a.mp3
askiy,Earth,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/55a34353-8cd2-423a-89e2-719c3b072c3b/156a.mp3
askō,Follow him,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/907c4a92-e6f6-4e3a-b818-04fbbf26a77b/113a.mp3
asonē,In particular. (also) especially him now or then.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/26e2c1ec-936d-49b2-b63b-890396f7c9d5/154a.mp3
asotamowin,"A promise, a vow.",
asotamōwin,"A promise, A vow.",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/ed031109-d664-4944-95c0-704597edf2c3/562a.mp3
asowacikan,"A container, a pocket, a bin.",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/532eb97d-f328-454c-9b8d-9dd71d737e17/563a.mp3
asowatā,Put it in a container (as in apocket or a box),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/5ea5e7e2-f0c7-462c-8494-fb69a3dd69b8/374a.mp3
asōwa,put him in a container,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/910e2283-37db-4c00-be2d-cd276732c02f/153a.mp3
asōwatāw,He put it in (as in container of some sort),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/c712b826-03e9-4394-b21e-e89087bbf3e4/592a.mp3
asōwatēw,"It is contained (in a container eg box, pocket, dresser drawer",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/e05b6c91-fadd-476a-99c3-e39721ac4153/621a.mp3
aspapōwin,A riding saddle.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/da5edd2c-b64c-4050-821b-eae3e001e8ce/499a.mp3
aspihci,Instead of,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/15563d9d-b967-45a8-89d0-50b049c14831/306a.mp3
aspin,Since,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/8e3e08eb-521e-41a3-bb5a-6314d1013be7/65a.mp3
aspinikan,A pot holder,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/ee87409c-2166-4f9a-965c-4c812560f0a9/76c.mp3
aspitahkoskākan,A rug,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/7f3b0563-3028-4c50-9423-284090b482f9/1012a.mp3
asta,Place it or put it,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/b802c2f3-b589-40e9-a2a7-3b720b0b3548/25a.mp3
astawēha,put the fire out,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/f91d5cd0-d991-45c6-a9dd-a93a5541c312/516a.mp3
astawēna,Put the light out (like the lights or the candle),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6936c515-a2a5-4587-afc4-3f4222771681/517a.mp3
astawēska,Put the fire out by stepping on it (or stamping on it),https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/00392f0a-39fe-4e08-905f-358d78f0ca4b/574a.mp3
astotina,hats,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/02a423b2-8665-469b-aead-e7978f7e6a68/405a.mp3
aswēhta,Beware of something,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/406afb94-e95e-4f91-86c3-433ba77c652c/408a.mp3
aswēyim,Beware of him,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9016e702-7bc9-4d56-ae73-b114ce4613b6/356a.mp3
as’pēyimoh,Depend on him or rely on him,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/6818fc38-f140-42a9-9926-72c0e6961202/905a.mp3
atamiskaw,shake hands with him.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9a549383-3e10-4136-a8a9-749c85ec77d9/810a.mp3
atamiskākē,Greet people (by shaking hands).,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d08455ac-2b09-48cb-a61b-ae72d3da1535/823a.mp3
atamiskākēwak,They are shaking hands with others in greeting.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/eb35193c-bb84-4121-a16f-ab0be0173e32/532a.mp3
atawēyihta,reject it,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/ca6981ce-4123-4bcd-b163-61ebfd7a90be/704a.mp3
atāmēw,He bought from him,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/614f92b2-48e1-4f02-8dac-540bb2d4e9e5/357a.mp3
atāmihk,all of you buy from him,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/8ecdee81-1bc7-46a5-974c-dcd8125bd490/358a.mp3
atāmihkok,All of you buy from them.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/bffdf1db-4925-4315-afcf-d5021d857a2b/581a.mp3
atāmin,Buy from me,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/9d999a21-33cc-42f7-a458-296b557d63cd/292a.mp3
atāwākē,Sell it,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/88dbd8e2-f140-4183-9ef8-fd134fe5cb2d/582a.mp3
atāwākēk,All of you sell it.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d687e7ed-71a7-4fad-85ba-fe65ebf912d1/695a.mp3
atāwewikamikwa,A store,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/4151f06c-d595-4dd7-a39f-f909d625ee58/990a.mp3
atāwē,buy it,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d8a90803-5992-4067-bfb2-80eede62feb1/300a.mp3
atāwēk,all of you buy it.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/2245c546-a20a-451d-bc0b-94341d72dca6/372a.mp3
ate or atē,on the way,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/815ddf5d-befe-4a7b-bb47-36c966f1b892/32a.mp3
atimapi,Sit with your back to me,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/27fa7421-6243-4dd4-b5d7-6076376b51a2/302a.mp3
atimapik,All of you sit with your back to me.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/933a9fe3-e3c5-46d7-b205-04fa8ee21537/553a.mp3
atoska,Have him work for you,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/dc8885ba-705e-42c7-a01f-d0a094cac4e6/168a.mp3
atoskaw,Work for him,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/763e8599-81ba-4806-b182-8afccece00fb/150a.mp3
atoskāta,work on it,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/bbc5f635-d815-4fb1-af94-f4b496489d8e/349a.mp3
atoskehkēk,all of you (or more than one) work later.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/d893b395-9f55-40fd-9843-acafac5190fe/720a.mp3
atoskē,You work later,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/334b4bc2-d56b-4ce7-8f43-9da54f4ecb5d/283a.mp3
atoskēwin,Work or working.,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/257879c0-c918-4e0b-a17a-923f1cecf566/535a.mp3
awa,This one,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/45e2437b-8d53-4540-956a-63f85f2f8d63/12a.mp3
awas,Exclamation Go away!,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/1d98de14-9476-4bef-a068-71902b07fe31/10c.mp3
awasita,over further (also a command meaning 'Move over!',https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/50f3bac0-e6bd-4e41-a44e-5681efd7d312/40c.mp3
awasitē,"further away, beyond",https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/cb53380c-dc3a-4724-bcf4-e17c252808dc/41c.mp3
awatā,Haul it or haul those...,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/20110337-77ed-40ac-9213-43b15b92ca59/184a.mp3
awēna,who?,https://fv-media-uploads.s3.amazonaws.com/cree-saulteau/17784d44-3105-43d2-ab2a-b22ff6001eff/185a.mp3
