word,translation,audio
asikanak,More than one sock,asikanak.mp3
asikanak,socks (plural form),asikanak.mp3
asinēyak,Rocks (plural of asinēy-rock),asinēyak.mp3
asiniysisak,"Pebbles, Rocks",asiniysisak.mp3
asiniywaciya,Mountains,asiniywaciya.mp3
askāhtik,A green tree,askāhtik.mp3
askāw,sometimes; rarely; occasionally,askāw.mp3
askāwewan,"Open water in spring break, during spring break.",askāwewan.mp3
askihk,"A pail, A bucket",askihk.mp3
askihkohkānis,A motor,askihkohkānis.mp3
askipahkwēsikan,Flour,askipahkwēsikan.mp3
askipwāw,A potato,askipwāw.mp3
askipwāwa,Potatoes,askipwāwa.mp3
askiwiyās,A piece of raw meat.,askiwiyās.mp3
askiy,Earth,askiy.mp3
askō,Follow him,askō.mp3
asonē,In particular. (also) especially him now or then.,asonē.mp3
asotamowin,"A promise, a vow.",
asotamōwin,"A promise, A vow.",asotamōwin.mp3
asowacikan,"A container, a pocket, a bin.",asowacikan.mp3
asowatā,Put it in a container (as in apocket or a box),asowatā.mp3
asōwa,put him in a container,asōwa.mp3
asōwatāw,He put it in (as in container of some sort),asōwatāw.mp3
asōwatēw,"It is contained (in a container eg box, pocket, dresser drawer",asōwatēw.mp3
aspapōwin,A riding saddle.,aspapōwin.mp3
aspihci,Instead of,aspihci.mp3
aspin,Since,aspin.mp3
aspinikan,A pot holder,aspinikan.mp3
aspitahkoskākan,A rug,aspitahkoskākan.mp3
asta,Place it or put it,asta.mp3
astawēha,put the fire out,astawēha.mp3
astawēna,Put the light out (like the lights or the candle),astawēna.mp3
astawēska,Put the fire out by stepping on it (or stamping on it),astawēska.mp3
astotina,hats,astotina.mp3
aswēhta,Beware of something,aswēhta.mp3
aswēyim,Beware of him,aswēyim.mp3
as’pēyimoh,Depend on him or rely on him,as’pēyimoh.mp3
atamiskaw,shake hands with him.,atamiskaw.mp3
atamiskākē,Greet people (by shaking hands).,atamiskākē.mp3
atamiskākēwak,They are shaking hands with others in greeting.,atamiskākēwak.mp3
atawēyihta,reject it,atawēyihta.mp3
atāmēw,He bought from him,atāmēw.mp3
atāmihk,all of you buy from him,atāmihk.mp3
atāmihkok,All of you buy from them.,atāmihkok.mp3
atāmin,Buy from me,atāmin.mp3
atāwākē,Sell it,atāwākē.mp3
atāwākēk,All of you sell it.,atāwākēk.mp3
atāwewikamikwa,A store,atāwewikamikwa.mp3
atāwē,buy it,atāwē.mp3
atāwēk,all of you buy it.,atāwēk.mp3
ate or atē,on the way,ate_or_atē.mp3
atimapi,Sit with your back to me,atimapi.mp3
atimapik,All of you sit with your back to me.,atimapik.mp3
atoska,Have him work for you,atoska.mp3
atoskaw,Work for him,atoskaw.mp3
atoskāta,work on it,atoskāta.mp3
atoskehkēk,all of you (or more than one) work later.,atoskehkēk.mp3
atoskē,You work later,atoskē.mp3
atoskēwin,Work or working.,atoskēwin.mp3
awa,This one,awa.mp3
awas,Exclamation Go away!,awas.mp3
awasita,over further (also a command meaning 'Move over!',awasita.mp3
awasitē,"further away, beyond",awasitē.mp3
awatā,Haul it or haul those...,awatā.mp3
awēna,who?,awēna.mp3
awēnāna or awēna ēkwāna,Who is that one?,awēnāna_or_awēna_ēkwāna.mp3
awēnāwa,Who is this one?,awēnāwa.mp3
awēta,Here he is,awēta.mp3
awēte,Here he is over here.,awēte.mp3
awēyak,someone,awēyak.mp3
awih,Loan it to him.,awih.mp3
ayah,A redirectional response which requires a hesitation and infers person,ayah.mp3
ayahci,prefix - different or differently,ayahci.mp3
ayahk,A redirectional gesture- 'this is what I was going to say',ayahk.mp3
ayamihā,verb command speaking to one person,ayamihā.mp3
ayamihāwin,The act of praying or worshipping.,ayamihāwin.mp3
ayamihēw kēsikāw,Sunday,ayamihēw_kēsikāw.mp3
ayamihtā,Read it,ayamihtā.mp3
ayā,Have it,ayā.mp3
ayewinisā,Clothing,ayewinisā.mp3
ayēkipēsim,April - Frog Moon,ayēkipēsim.mp3
ayēwinisā,Clothing,ayēwinisā.mp3
ayikisis,A baby frog,ayikisis.mp3
ayinānēw,The number five (5),ayinānēw.mp3
ayinānēwosāp,The number eighteen,ayinānēwosāp.mp3
ayisk,Because of,ayisk.mp3
ayiwāk,more,ayiwāk.mp3
ayiwēpi,Have a rest,ayiwēpi.mp3
ayōskan,A raspberry,ayōskan.mp3
ācahkōs,A Star,ācahkōs.mp3
āchimok,"All of you tell a story,",āchimok.mp3
āchimow,He told a story.,āchimow.mp3
ācosisāk,Arrows,ācosisāk.mp3
āhāsiw,A Raven,āhāsiw.mp3
āhāsiwak,Ravens,āhāsiwak.mp3
āhkosēw’ kāmik,A hospital building,āhkosēw’_kāmik.mp3
āh?,What?,āh?.mp3
ākosimowin,Nestling,ākosimowin.mp3
ākwāskaw,You head him off.,ākwāskaw.mp3
ākwāskaw,Head him off,ākwāskaw.mp3
ākwâha,Take it out of the liquid,ākwâha.mp3
āmachōwē,You climb!,āmachōwē.mp3
āmiskōs,Baby Beaver,āmiskōs.mp3
ānwehtaw,Disbelieve him.,ānwehtaw.mp3
ānwihtawēw,He disbelieves him,ānwihtawēw.mp3
āpahah,Unscrew it.,āpahah.mp3
āpēhoh,"Do something in return eg. an act of kindness, revenge, a joke",āpēhoh.mp3
āpēwina,Seats or places to sit,āpēwina.mp3
āpihkona,Untie it.,āpihkona.mp3
āpihtā,prefix- to mean half of anything,āpihtā.mp3
āpisimōsak,Deer,āpisimōsak.mp3
āsastā,pile those things up,āsastā.mp3
āsay,already,āsay.mp3
āskiya,"muskeg moss, used in diapers.",āskiya.mp3
āsotamōwin,The act of making a vow,āsotamōwin.mp3
āstam,Come here,āstam.mp3
āstisak,Gloves,āstisak.mp3
āstotin,A hat,āstotin.mp3
āta,even though,āta.mp3
ātawiya,anyway. however; although; as well.,ātawiya.mp3
ātayohkaw,Tell legends to him or them.,ātayohkaw.mp3
ātiht,"some, a few",ātiht.mp3
ātimapi,Sit with your back to me,ātimapi.mp3
ātimwak,Dogs.,ātimwak.mp3
ātos,have him do something for you,ātos.mp3
āwasōwin,The act of warmnig up,āwasōwin.mp3
āyētaw,on both sides; at both ends,āyētaw.mp3
cahcahkaha,keep poking at it.,cahcahkaha.mp3
cahcahkinosēw,"A greyling, a speckled trout.",cahcahkinosēw.mp3
cahcāmōwin,The act of sneezing,cahcāmōwin.mp3
cahka,poke him,cahka.mp3
cahkāha,Poke it,cahkāha.mp3
cahkās,Ice Cream,cahkās.mp3
cahkin,poke him with a finger,cahkin.mp3
cāh,Reduplicative prefix-means to keep doing something over and over again,cāh.mp3
ce,a question marker,ce.mp3
cēka,chop it (something animate like a tree),cēka.mp3
cēkaha,chop it (something inanimate like a bone),cēkaha.mp3
cēkahikan,An Axe,cēkahikan.mp3
cēki,"near, nearby,",cēki.mp3
cēpatahikē,"Cook it over the fire, using a long stick. usually bannock or meat",cēpatahikē.mp3
cēsi,fool him,cēsi.mp3
cēsihiwēwin,A thing that deceives people (eg a lie).,cēsihiwēwin.mp3
cēsimiwēw or ocēsimiwēw,A teller of fibs.,cēsimiwēw_or_ocēsimiwēw.mp3
cēskwa,Wait!,cēskwa.mp3
cēsta,poke him (with an object) like a needle,cēsta.mp3
cēstahikan,A fork.,cēstahikan.mp3
cēstin,scratch him (usually with nails) to do harm,cēstin.mp3
chēpataha,"Drive it into the ground, usually means a pole or a stick",chēpataha.mp3
cihcēkin,Scratch him (as in to relieve an itch),cihcēkin.mp3
cihcēkinin,scratch me (as in to relieve an itchy area),cihcēkinin.mp3
cihcēkwahcikē,eat or knaw the meat off of the bone,cihcēkwahcikē.mp3
cikāstēpayihcēkan,A television,cikāstēpayihcēkan.mp3
cipahikanis,One minute,cipahikanis.mp3
ekay wiya,Don’t you dare.,ekay_wiya.mp3
ekay/ekaya,don’t or do not///e is kind of silent at this,ekay/ekaya.mp3
ekoni or ekonihi,Those are the ones. (inanimate),ekoni_or_ekonihi.mp3
ekosāni,and so,ekosāni.mp3
ekosēsi,exclamation! Never mind!,ekosēsi.mp3
ekosēsi,The the way to do it. Like that. Just so.,ekosēsi.mp3
ekospēhk,then,ekospēhk.mp3
ekote,over there,ekote.mp3
ekōsani,and so,ekōsani.mp3
ekōsi,That's it. That's the end.,ekōsi.mp3
etahkōmēw,the way he is related to the 3rd person,etahkōmēw.mp3
ewako ohci,That’s the reason why.,ewako_ohci.mp3
ewako or ēko,that one,ewako_or_ēko.mp3
eyik,An Ant,eyik.mp3
ēci,at a later time; afterwards; later,ēci.mp3
ēkatē,prefix for verbs - aside,ēkatē.mp3
ēkihceyihta,Respect it. Give it proper respect,ēkihceyihta.mp3
ēki/eki,prefixes to verbs- denote the past,ēki/eki.mp3
ēkonik,Those (people or animals or animate things) are the ones.,ēkonik.mp3
ēkotōwa,that kind,ēkotōwa.mp3
ēkwa,and also,ēkwa.mp3
ēkwah,You come along too.,ēkwah.mp3
ēkwayāc,"only now , or for the first time",ēkwayāc.mp3
ēkwāna,That’s him,ēkwāna.mp3
ēkwānima,That is the one (inanimate as in thing),ēkwānima.mp3
ēmihkwānis,A small teaspoon.,ēmihkwānis.mp3
ēmihkwānisak,Spoons,ēmihkwānisak.mp3
ēsa,ago- particle denotes the past tense,ēsa.mp3
ēsi,this is a particle Towards,ēsi.mp3
ēsi,how to - prefix,ēsi.mp3
ēsko,until; so far; as far as,ēsko.mp3
ētamahcihow,How he feels,ētamahcihow.mp3
ētikwē,I suppose.,ētikwē.mp3
ēwako āwa,This is the one. This is him.,ēwako_āwa.mp3
ēwē or ēwēh,To indicate a future tense to any verb,ēwē_or_ēwēh.mp3
ēyiwēhk,"Anyhow, anyway, it’s better than nothing",ēyiwēhk.mp3
hay! hay!,"exclamation - in indicate thankfulness,",hay!_hay!.mp3
hey! hey!,exclamation of deep concern,hey!_hey!.mp3
ihkwā,A Louse,ihkwā.mp3
ihtakon,it exists,ihtakon.mp3
ihtakow,he exists,ihtakow.mp3
ikamā,exclamation to mean 'it is not so' or 'that is not the case',ikamā.mp3
isēhōw,He is dressed so,isēhōw.mp3
isihcikātōwin,The act of business affairs.,isihcikātōwin.mp3
isihkāsow,That is his name,isihkāsow.mp3
isihtāw,That’s the way he makes it,isihtāw.mp3
iskipēw,High Water,iskipēw.mp3
iskona,save some of it,iskona.mp3
iskona,Leave some of it,iskona.mp3
iskonikan,"Something that is held for another day, A Reservation",iskonikan.mp3
iskotēw’ kamik,A firehall building,iskotēw’_kamik.mp3
iskwayāch,The last- final - the end of it all,iskwayāch.mp3
iskwēw,Woman,iskwēw.mp3
iskwēwak,Women kind,iskwēwak.mp3
iskwēwowin,Being womanly or womanhood,iskwēwowin.mp3
ispahtāw,He runs there quickly.,ispahtāw.mp3
ispayin,It happened; Be,ispayin.mp3
ispāyiw,It got to be that way.,ispāyiw.mp3
ispiciw,"He moves there, belongings and all",ispiciw.mp3
ispimihk,high above; way up high,ispimihk.mp3
itāpow,He takes a look.,itāpow.mp3
itātisiw,his conduct or behavior is so,itātisiw.mp3
itāw,It is said of him,itāw.mp3
itēyihta,Think it to be so.,itēyihta.mp3
itisa,Send him,itisa.mp3
itohta or etohta,take him there,itohta_or_etohta.mp3
itohtatā,Take it over there,itohtatā.mp3
itohtē,go there,itohtē.mp3
itōhōw,He lands on the ground or decends (as a bird).,itōhōw.mp3
itōta or ētōta,Do it,itōta_or_ētōta.mp3
itwa,Point to him,itwa.mp3
itwē,verb command,itwē.mp3
itwēw,He says,itwēw.mp3
iyāyaw,he would rather,iyāyaw.mp3
iyāyikohk,Heaven only knows how much...,iyāyikohk.mp3
iyāyitē,"where, no one knows",iyāyitē.mp3
iyikohk,When the time comes,iyikohk.mp3
iyikopiwipēsim,November - Frost Moon,iyikopiwipēsim.mp3
iyinesowin,Being smart or with wisdom,iyinesowin.mp3
iyiwehk,Might as well. Signifies a person overdoing something despite his wishes.,iyiwehk.mp3
ka wayēsimiht,To or when a person is persuaded by flattery,ka_wayēsimiht.mp3
kahcitina,Get a hold of it; seize it; catch it,kahcitina.mp3
kahkan,"Something in good condition, not broken. inanimate object",kahkan.mp3
kahkākow,A crow,kahkākow.mp3
kahke or kakē,Can you? or Do you think you can? or Will you?,kahke_or_kakē.mp3
kahkē or ka kē,Can you or would you or could you...,kahkē_or_ka_kē.mp3
kahkēwak-ohkē,Make drymeat,kahkēwak-ohkē.mp3
kahkēwak-ohkē-k,All of you make drymeat!,kahkēwak-ohkē-k.mp3
kahkihtwām,"over and over again, repeatedly",kahkihtwām.mp3
kahkominakāk,Pepper,kahkominakāk.mp3
kahkwēyihtam,He is jealous.,kahkwēyihtam.mp3
kah!,"exclamation: Oh!; I see; that’s it, it’s it.",kah!.mp3
kah-kēyāskōw,He is repeatedly telling lies or fibs.,kah-kēyāskōw.mp3
kah-kimōwan,It continually rains. periodic showers. It keeps on raining.,kah-kimōwan.mp3
kah-kitow,he calls repeatedly- as in an animal,kah-kitow.mp3
kakatāch,preferably (seems in negative way),kakatāch.mp3
kakāyawisiw,he is- industrious/ works hard.,kakāyawisiw.mp3
kakē -ayāwāw,You can have him.,kakē_-ayāwāw.mp3
kakēpātis,"A stupid person, A moron.",kakēpātis.mp3
kakēskim,kakwēskimturn/himaround counsel,kakēskim.mp3
kakwecihkemowina,The act of asking or inquiring,kakwecihkemowina.mp3
kakwē,try to - preverb,kakwē.mp3
kakwēcihkēmōwin,The act of asking or inquiring.,kakwēcihkēmōwin.mp3
kakwēyāhiwin,The act of hurrying.,kakwēyāhiwin.mp3
kakwēyāhōwin,The act of hurrying,kakwēyāhōwin.mp3
kamik,suffix - for any kind of building eg. atawēw-kamik (store),kamik.mp3
kanakē,At least,kanakē.mp3
kanakēs,for a brief moment,kanakēs.mp3
kanawapokewin,The act of keeping and guarding a house.,
kanawāpahta,Look at it,kanawāpahta.mp3
kanawāpam,Look at him.,kanawāpam.mp3
kanawēyihta,keep it (as in for safe keeping),kanawēyihta.mp3
kanawēyim,keep him,kanawēyim.mp3
kanācih,Clean him (up) or clean it up (animate object).,kanācih.mp3
kanātastēw,It is clean (meaning the place),kanātastēw.mp3
kanātatisōwin,A quality held to be of great moral value,kanātatisōwin.mp3
kanātisiwin,The act of being clean (cleanliness),kanātisiwin.mp3
kanātisi-w,"He is clean, pure",kanātisi-w.mp3
kanwapokēwin,The act of keeping anf guarding a house.,kanwapokēwin.mp3
kapēsiw,He sleeps overnight or he camps overnight,kapēsiw.mp3
kapēsiwin,"A camp, a resting spot, a campground.",kapēsiwin.mp3
kapēyayihk,During. All during the course of.,kapēyayihk.mp3
kasēcihceēwin,The act of wiping or washing your hands,kasēcihceēwin.mp3
kaskam,short cut - also is a prefix to verbs ef walk,kaskam.mp3
kaskatinōwipēsim,October - Freezing Moon,kaskatinōwipēsim.mp3
kaskāpahtew,It is smokey.,kaskāpahtew.mp3
kaskāpasam,he smokes it,kaskāpasam.mp3
kaskēyihtam,He feels alone and cut off (from loved ones),kaskēyihtam.mp3
kaskēyimēw,He/she is lonesome for her/him.,kaskēyimēw.mp3
kaskihēw,He convinces and makes him do something.,kaskihēw.mp3
kaskihow,He succeeds (after much difficulty),kaskihow.mp3
kaskihtāw,He is able to do it or he succeeds,kaskihtāw.mp3
kaskihtāwin,Having the ability.,kaskihtāwin.mp3
kaskikātēsin,He broke his leg (through a fall),kaskikātēsin.mp3
kaskikwācikē,Sew by hand - paying attention to detail,kaskikwācikē.mp3
kaskikwāsoh,Sew by sewing machine.,kaskikwāsoh.mp3
kaskikwāsowin,The act of sewing.,kaskikwāsowin.mp3
kaskim,convince him or persuade him,kaskim.mp3
kaskimihk,All of you persuade him to agree.,kaskimihk.mp3
kaskina,Break it off ( like a twig),kaskina.mp3
kaskitēwacāpō,He has dark eyes. (or He HAS A BLACK EYE OR EYES).,kaskitēwacāpō.mp3
kawa,chop it or fall it down (animate object),kawa.mp3
kawisimo,stem kawi is fall,kawisimo.mp3
kawiwēpin,kawi=prefix fall down/ wēpin = throw,kawiwēpin.mp3
kayahtē,Before -the same as it was.,kayahtē.mp3
kayāsēs,A long while back.,kayāsēs.mp3
kayesowina,The act of doing something deceitful.,kayesowina.mp3
kayēsowin,"The act of doing something crooked, deceitful.",kayēsowin.mp3
kayēyisiw/ kakayēyisiw,He is dishonest. He is wise in a dishonest way.,kayēyisiw/_kakayēyisiw.mp3
kācikewin,A hideaway. Something hidden.,kācikewin.mp3
kācikēwin,A hideaway; Something that is hidden,kācikēwin.mp3
kāhkiyaw,All of it. The full amount.,kāhkiyaw.mp3
kākēcihiwēwin,The act of consoling.,kākēcihiwēwin.mp3
kākēcihiwēwina,The act of placating.,kākēcihiwēwina.mp3
kākēhcisāyāwin,Being in the state of vulnerability,kākēhcisāyāwin.mp3
kākēsimōw,He is praying to the Creator,kākēsimōw.mp3
kākwak,Porcupines.,kākwak.mp3
kāmwātapiwin,The act of sitting quietly and not moving.,kāmwātapiwin.mp3
kāmwāteyihtākosiwin,Being thought of as quiet.,kāmwāteyihtākosiwin.mp3
kāmwātisiw,he is quiet,kāmwātisiw.mp3
kāmwātisiwin,Quiet in an individual; gentleness.,kāmwātisiwin.mp3
kām¯wātan,It is quiet.,kām¯wātan.mp3
kās,hide him,kās.mp3
kāsēcihcē,Wash your hands.,kāsēcihcē.mp3
kāsēcihcēw,He washes his hands.,kāsēcihcēw.mp3
kāsēha,Wipe it,kāsēha.mp3
kāsēhkwankān,A face cloth for washing,kāsēhkwankān.mp3
kāsēyākanē,Wipe the dishes,kāsēyākanē.mp3
kāsihkwē,Wash your face,kāsihkwē.mp3
kāskaha,scrape it,kāskaha.mp3
kāskina,break it off ( as in a twig),kāskina.mp3
kāskipāsōw,He shaves. or he is shaving,kāskipāsōw.mp3
kāsō,hide!,kāsō.mp3
kāsōw,He hides.,kāsōw.mp3
kātā,Hide it.,kātā.mp3
kātāk,All of you hide it!,kātāk.mp3
kāwih,again,kāwih.mp3
kāya,Don’t,kāya.mp3
kāyawātisiw,He is quick and efficient- good hard worker,kāyawātisiw.mp3
kāyawiya,Do not or don’t,kāyawiya.mp3
kāyān,you can have it,kāyān.mp3
kāyāwāw or kikāyāwāw,you have him,kāyāwāw_or_kikāyāwāw.mp3
kehcinahōw,He is certain; he is sure,kehcinahōw.mp3
kehcinā,For sure; Certainly; Surely- sometimes used as a reply,kehcinā.mp3
kehcināho,Make certain; Be sure,kehcināho.mp3
kehitwēw,"He did say, he said",kehitwēw.mp3
kehkwāhākēsis,A small wolverine or a young one,kehkwāhākēsis.mp3
kekway,What,kekway.mp3
kepihtinkewin,The state of withholding animate or inanimate objects,kepihtinkewin.mp3
kēci,one of your kind -nēhēyaw Cree or fellow Cree,kēci.mp3
kēcikon,Take it off (animate object- a thing with life properties),kēcikon.mp3
kēcikona,Take it off (inanimate object - thing),kēcikona.mp3
kēhokēwin,Visiting or the act of visiting,kēhokēwin.mp3
kēhsāspinē,might as well,kēhsāspinē.mp3
kēhsēyihtam,He makes up his mind.,kēhsēyihtam.mp3
kēkā -mitātaht,The number nine,kēkā_-mitātaht.mp3
kēkāc,"almost, nearly",kēkāc.mp3
kēko,which one of what type,kēko.mp3
kēkway,something,kēkway.mp3
kēmōcinākosiw,"She, He appears or looks sneaky.",kēmōcinākosiw.mp3
kēpa,soon,kēpa.mp3
kēsastā,Finish setting things in place,kēsastā.mp3
kēsāc,now instead of later,kēsāc.mp3
kēsi,"prefix denotes finishing, completing or through with",kēsi.mp3
kēsiska,make it on time; Beat the deadline,kēsiska.mp3
kēskahamā,Cut your hair.,kēskahamā.mp3
kēskasākay,A skirt,kēskasākay.mp3
kēskasākaya,Skirts,kēskasākaya.mp3
kēskicāsis,A pair of shorts,kēskicāsis.mp3
kēskisa,Cut it off.,kēskisa.mp3
kēso,prefix - to mean warmth,kēso.mp3
kēsōsōwin,The state of being warm,kēsōsōwin.mp3
kēspin,"if, in case,",kēspin.mp3
kēspinata,Earn it,kēspinata.mp3
kēstawāw,All of you too.,kēstawāw.mp3
kētahtawē,sometime if,kētahtawē.mp3
kētasikanē,Take off your socks,kētasikanē.mp3
kētaskisinē,Take off your shoes,kētaskisinē.mp3
kētastotinē,Take off your hat.,kētastotinē.mp3
kēwācawasis,An orphan child,kēwācawasis.mp3
kēwē,prefix- He was intening to or he was going to,kēwē.mp3
kēyanaw,Us or we,kēyanaw.mp3
kēyiwēhk,That will help or that’s better than nothing.,kēyiwēhk.mp3
kēyokē,visit,kēyokē.mp3
ki,prefix for second person you or yours,ki.mp3
kihcē pēkiskwēwin,The act of speaking the truth,kihcē_pēkiskwēwin.mp3
kihcēyihta/kakihcēyihta,To receive or give an eagle feather is to show honor,kihcēyihta/kakihcēyihta.mp3
kihci,prefix denotes: greatness or importance,kihci.mp3
kihēwak,Eagles,kihēwak.mp3
kihkahtoskōwak,They are always quarreling. They are argumentative.,kihkahtoskōwak.mp3
kihkahtōwak,They are quarreling,kihkahtōwak.mp3
kihkām,Scold him.,kihkām.mp3
kihkāmāw,He is scolded.,kihkāmāw.mp3
kihkāmēw,He scolded him.,kihkāmēw.mp3
kihkāmin,scold me,kihkāmin.mp3
kihpē,prefix to a verb -past tense- means s/he came and....,kihpē.mp3
kihtimikan,A lazy person,kihtimikan.mp3
kikawacin,you are cold,kikawacin.mp3
kimōtiw,he steals or he stole.,kimōtiw.mp3
kinosesis,Baby Fish,kinosesis.mp3
kinosēw,fish (one fish),kinosēw.mp3
kinosēwak,fish - more than one fish (plural),kinosēwak.mp3
kinwēs,for a long time,kinwēs.mp3
kipaha,shut it (inanimate object),kipaha.mp3
kipaha-kitōn,Shut your mouth!,kipaha-kitōn.mp3
kipatahtam,he faints or he fainted,kipatahtam.mp3
kipē,you have come to...(prefix to verb) swim,kipē.mp3
kipiskam,she blocks the way,kipiskam.mp3
kipiskaw,Block him,kipiskaw.mp3
kipōyon,You have quit,kipōyon.mp3
kisāstaw,Sort of; kind of; It seems like...,kisāstaw.mp3
kisēpēkinīkēwin,The act of doing laundry or washing clothes,kisēpēkinīkēwin.mp3
kisēpiyākanē,Wash the dishes,kisēpiyākanē.mp3
